username,program,valid_closed,rep,rank
m0chan,Private Program,418/549,8339,1
m0chan,Private Program,296/402,6750,2
m0chan,Private Program,179/547,4132,3
m0chan,Private Program,159/214,3363,2
m0chan,Private Program,212/458,3326,14
d0xing,Private Program,774/949,15645,3
d0xing,AT&T,182/230,4649,7
d0xing,Private Program,194/226,4412,12
d0xing,Private Program,161/192,3675,2
d0xing,Private Program,169/194,3588,7
godiego,AT&T,82/123,1927,27
godiego,Private Program,64/82,1687,7
godiego,Private Program,38/45,1472,3
godiego,Private Program,50/58,1449,5
godiego,Private Program,61/87,1379,46
holybugx,Private Program,138/165,2766,18
holybugx,Private Program,124/143,2658,10
holybugx,Private Program,66/70,1793,5
holybugx,AT&T,69/108,1783,30
holybugx,Elastic,37/59,665,4
arielrachamim,Private Program,847/898,6426,5
arielrachamim,Private Program,71/106,1644,5
arielrachamim,Expedia Group VDP,183/184,1421,3
arielrachamim,Clarivate,21/72,1057,1
arielrachamim,Adobe,117/132,909,14
arthuraires,Private Program,332/441,10783,2
arthuraires,Hilton,78/97,2800,1
arthuraires,Private Program,54/77,1925,1
arthuraires,Private Program,46/87,1009,1
arthuraires,Private Program,31/34,921,1
green-jam,Private Program,872/916,25897,1
green-jam,AT&T,15/15,420,
green-jam,Logitech,6/6,185,23
green-jam,Private Program,3/3,171,16
green-jam,Private Program,2/2,111,71
teslatheg0d,AT&T,9/9,240,
teslatheg0d,Flipkart,0/1,57,36
teslatheg0d,LY Corporation,1/1,22,
teslatheg0d,Linktree,1/2,22,34
teslatheg0d,Kiwi.com,1/1,2,
supermancyber,TikTok,201/547,6336,1
supermancyber,Freshworks,149/313,3870,1
supermancyber,Private Program,30/173,2673,1
supermancyber,Private Program,85/178,1720,1
supermancyber,Acronis,28/45,1244,5
badcracker,Private Program,136/228,5411,1
badcracker,Private Program,467/524,3754,1
badcracker,Private Program,120/233,2545,11
badcracker,Private Program,119/193,2378,1
badcracker,Private Program,68/83,1643,1
yash_005,Glassdoor,48/86,1012,7
yash_005,Amazon Vulnerability Research Program,16/62,746,13
yash_005,Clubhouse,6/13,211,3
yash_005,Eternal,3/9,135,26
yash_005,OPPO,0/0,66,11
mister_mime,Private Program,1/20,1254,22
mister_mime,Smartsheet,20/22,930,2
mister_mime,Private Program,20/25,715,1
mister_mime,Private Program,19/25,559,6
mister_mime,Private Program,13/20,558,19
jameelalhaneny,Crowdstrike,0/17,240,2
jameelalhaneny,PepsiCo VDP,26/28,189,2
jameelalhaneny,Eternal,6/14,122,32
jameelalhaneny,inDrive,15/19,121,9
jameelalhaneny,LATAM Airlines,17/17,119,5
n0xi0us,AT&T,15/22,233,
n0xi0us,Booking.com,12/16,166,51
n0xi0us,Epic Games,4/13,134,
n0xi0us,Alibaba BBP,0/0,124,36
n0xi0us,Superbet,2/4,111,11
archyxsec,Private Program,71/95,3892,9
archyxsec,Valve,21/70,1140,9
archyxsec,Private Program,10/21,765,1
archyxsec,Private Program,17/29,728,1
archyxsec,Private Program,17/35,613,1
