username,program,valid_closed,rep,rank
todayisnew,Private Program,675/790,15274,1
todayisnew,Private Program,720/1165,14795,4
todayisnew,Private Program,464/1451,10199,4
todayisnew,Private Program,251/389,7301,2
todayisnew,AT&T,252/456,4778,6
d0xing,Private Program,774/949,15645,3
d0xing,AT&T,182/230,4649,7
d0xing,Private Program,194/226,4412,12
d0xing,Private Program,161/192,3675,2
d0xing,Private Program,169/194,3588,7
m0chan,Private Program,418/549,8339,1
m0chan,Private Program,296/402,6750,2
m0chan,Private Program,179/547,4139,3
m0chan,Private Program,163/218,3370,2
m0chan,Private Program,212/458,3326,14
