username,name,location,joined_date,socials,bio,thanks_count,signal,signal_percentile,impact,impact_percentile,reputation,rank,streak_months,completed_pentests,vulnerabilities_found,contributions_count
m0chan,Aidan,Follow,Joined March 2018,"[""https://x.com/m0chan98"", ""https://github.com/m0chan"", ""https://bugcrowd.com/m0chan"", ""https://app.hackthebox.eu/profile/m0chan""]",Security Researcher / Penetration Tester based in Scotland. 🏴󠁧󠁢󠁳󠁣󠁴󠁿,707,6.70,53rd,14.56,,9244,1,39,40,5151,5
d0xing,d0xing,Follow,Joined July 2016,"[""https://x.com/d00xing"", ""https://bugcrowd.com/d0xing""]",,685,6.95,62nd,15.29,,5856,2,39,,5785,5
godiego,diego,It's not go-die-go but go-diego :),Joined December 2016,"[""https://x.com/_godiego__"", ""https://github.com/diego95root"", ""https://www.linkedin.com/in/diego-bernal-adelantado"", ""https://bugcrowd.com/godiego""]",Open to private invitations and engagements via godiego@wearehackerone.com.,757,6.83,76th,19.87,,5506,3,39,,2373,5
holybugx,HolyBugx,Follow,Joined September 2020,"[""https://x.com/holybugx"", ""https://github.com/HolyBugx"", ""https://bugcrowd.com/holybugx""]","For private invites, collaborations, and other opportunities - holybugx@wearehackerone.com",407,6.94,53rd,14.48,,3801,6,39,,1374,5
arielrachamim,Ariel Rachamim,Application Security Researcher,Joined December 2020,"[""https://bugcrowd.com/ArielRachamim""]",,404,6.53,52nd,13.92,,3479,7,36,,2646,5
arthuraires,Arthur Aires,Kangaroos cannot jump here,Joined November 2020,"[""https://x.com/arthurair_es"", ""https://github.com/arthur4ires"", ""https://www.linkedin.com/in/arthur-aires-93388211b""]","Bug Hunter and Pentester with over 5 years of experience, recognized internationally in the field. Specialized in penetration testing, vulnerability assessments, client-side and server-side security, Red Team operations, and team management. Extensive expertise in vulnerability exposure and exploitation across various environments.",165,7.00,87th,25.06,,2695,12,39,36,746,5
green-jam,Jim Green,Follow,Joined January 2022,"[""https://x.com/GreenJamSec"", ""https://www.linkedin.com/in/green-jam""]","Making software during the day, breaking it at night.",45,7.00,63rd,15.60,,3076,9,37,,896,5
teslatheg0d,TeslaTheG0d,"~comewithme, No actually Don't!",Joined December 2019,"[""https://x.com/TeslaTheGod"", ""https://github.com/teslatheg0d"", ""https://bugcrowd.com/teslatheg0d"", ""https://app.hackthebox.eu/profile/451793""]","Loves Computers and Hacking Them,",36,7.00,92nd,29.11,,3205,8,26,,712,5
supermancyber,Jeffrey,Follow,Joined August 2023,"[""https://www.linkedin.com/in/jeffreyverdianto""]",,61,7.00,68th,17.48,,2825,10,28,,553,5
badcracker,mhmd berro,Cheer up. Life is good!,Joined July 2018,[],,160,7.00,62nd,15.24,,2702,11,38,,2134,5
yash_005,Yash Sharma,Follow,Joined August 2020,"[""https://x.com/05__Yash"", ""https://www.linkedin.com/in/yash-sharma-35359117b""]",,210,7.00,75th,19.35,,2581,14,38,,594,5
mister_mime,Théo Cusnir,Follow,Joined May 2018,"[""https://x.com/4bg0p"", ""https://www.linkedin.com/in/theocusnir"", ""https://bugcrowd.com/4bg0p""]",,118,6.88,68th,17.19,,2057,19,15,,255,5
jameelalhaneny,Jimmy_Alhaneny,Security Researcher & Website's Hosting - Open to any contracting opportunities - jameelalhaneny@wearehackerone.com,Joined May 2023,"[""https://x.com/JameelAlhaneny""]",,216,5.86,64th,16.06,,2007,20,34,,547,5
n0xi0us,Angel Montes,Follow,Joined May 2021,"[""https://x.com/_N0xi0us_"", ""https://www.linkedin.com/in/amontesg""]",I'm open to new private program invitations: n0xi0us@wearehackerone.com,283,7.00,78th,20.14,,2135,16,39,,406,5
archyxsec,(archyxsec),20/06/2024,Joined December 2019,"[""https://x.com/archyxsec"", ""https://bugcrowd.com/archyxsec""]",Hey! I am a security researcher who is dedicated full time to Bug Bounty! 🇪🇸,82,7.00,82nd,22.25,,2104,17,24,,232,5
